scenario,endpoint_name,calls,failures,min_ms,p50_ms,mean_ms,p95_ms,max_ms
overview_first_load,app.getAccounts,12,0,131.39,168.442,237.677,492.744,695.039
overview_first_load,app.getCategories,12,0,268.187,303.198,371.949,549.433,648.446
overview_first_load,syncState.getSyncState,12,0,322.98,571.542,561.047,770.445,822.214
overview_first_load,accountsTable.getAccounts,12,0,571.188,727.173,736.816,891.774,968.623
overview_first_load,conflictQueue.getConflicts,12,0,132.054,661.944,634.543,847.008,868.456
overview_first_load,balancesTable.getBalances,12,0,730.477,846.054,867.576,979.523,1014.213
transactions_first_load,transactionsTable.getTransactions,12,0,145.028,202.399,212.293,318.746,383.679
reports_first_load,budgetPanel.getBudgets,12,0,121.964,148.445,151.537,200.874,249.423
reports_first_load,reportsPanel.getMonthlyOverview,12,0,241.031,297.014,355.252,568.069,577.544
reports_first_load,reportsPanel.getCashFlow,12,0,264.729,468.332,458.7,589.731,606.028
reports_first_load,reportsPanel.getNetWorth,12,0,296.697,495.474,497.673,578.471,605.862
data_first_load,settingsPanel.getSettings,12,0,120.1,153.653,195.447,307.239,318.054
data_first_load,exportPanel.getSettings,12,0,146.083,265.599,237.115,306.341,314.551
